language,wals,branch,family,countries,family_glottocode
Apalaí,apl,No Branch,Karib,Brazil,Cariban
Bakairí,bki,No Branch,Karib,Brazil,Cariban
Hixkaryána,hix,No Branch,Karib,Brazil,Cariban
Macushi,mac,No Branch,Karib,Brazil/Guyana/Venezuela,Cariban
Apinayé,api,Macro Jê,Jê,Brazil,Nuclear-Macro-Je
Canela,cnl,Macro Jê,Jê,Brazil,Nuclear-Macro-Je
Kaigang,kng,Macro Jê,Jê,Brazil,Nuclear-Macro-Je
Karajá,jva,Macro Jê,Karajá,Brazil,Nuclear-Macro-Je
Kayapó,kyp,Macro Jê,Jê,Brazil,Nuclear-Macro-Je
Maxakali,max,Macro Jê,Maxakali,Brazil,Nuclear-Macro-Je
Rikbaktsa,rik,Macro Jê,Rikbaktsa,Brazil,Nuclear-Macro-Je
Xavante,xav,Macro Jê,Jê,Brazil,Nuclear-Macro-Je
Guajajara,gjj,Tupi,Tupi-Guarani,Brazil,Tupian
Guarani Eastern Bolivia,crg,Tupi,Tupi-Guarani,Argentina/Bolivia/Paraguay,Tupian
Guarani Mbya,[gun],Tupi,Tupi-Guarani,Argentina/Brazil/Paraguay,Tupian
Guarani Paraguay,gua,Tupi,Tupi-Guarani,Paraguay,Tupian
Guarani Western Bolivia,[gnw],Tupi,Tupi-Guarani,Argentina/Bolivia/Paraguay,Tupian
Kaapor,urk,Tupi,Tupi-Guarani,Brazil,Tupian
Kaiwá,kaw,No Branch,Tupi-Guarani,Brazil/Paraguay,Tupian
Kayabí,kyz,Tupi,Tupi-Guarani,Brazil,Tupian
Mundurukú,muu,Tupi,Mundurukú,Brazil,Tupian
Nheengatu,[yrl],Tupi,Tupi-Guarani,Brazil/Colombia/Venezuela,Tupian
Sateré-Mawé,[mav],Tupi,Mawé,Brazil,Tupian
Tenharim,[pah],Tupi,Tupi-Guarani,Brazil,Tupian
Sanumá,snm,No Branch,Yanomami,Brazil/Venezuela,Yanomamic
Yanomami,[guu],No Branch,Yanomami,Brazil,Yanomamic
Ticuna,tic,No Branch,Ticuna,Brazil/Peru,Ticuna-Yuri
Desano,des,No Branch,Tukano,Colombia/Brazil,Tucanoan
Kubeo,cub,No Branch,Tukano,Colombia,Tucanoan
Makuna,mcn,No Branch,Tukano,Brazil/Colombia,Tucanoan
Piratapúya,prt,No Branch,Tukano,Brazil/Colombia,Tucanoan
Siriano,sri,No Branch,Tukano,Brazil/Colombia,Tucanoan
Tucano,tuc,No Branch,Tukano,Brazil/Colombia,Tucanoan
Tuyúca,tuy,No Branch,Tukano,Brazil/Colombia,Tucanoan
Wanana,gno,No Branch,Tukano,Brazil/Colombia,Tucanoan
Kashinawa,csh,No Branch,Pano,Brazil/Peru,Pano-Tacanan
Matsés,myr,No Branch,Pano,Brazil/Peru,Pano-Tacanan
Yamináwa,yam,No Branch,Pano,Brazil/Peru,Pano-Tacanan
Kadiwéu,kdw,No Branch,Guaikurú,Brazil,Guaicuruan
Culina,cul,No Branch,Arawá,Brazil/Peru,Arawan
Jamamadi,jmm,No Branch,Arawá,Brazil,Arawan
Paumarí,pau,No Branch,Arawá,Brazil,Arawan
Nadeb,nad,No Branch,Makú,Brazil,Naduhup
Apurinã,apu,No Branch,Aruak,Brazil,Arawakan
Asheninka,cax,No Branch,Aruak,Peru,Arawakan
Palikúr,plk,No Branch,Aruak,Brazil,Arawakan
Parecís,pex,No Branch,Aruak,Brazil,Arawakan
Terêna,trn,No Branch,Aruak,Brazil,Arawakan
Wapishana,wps,No Branch,Aruak,Brazil/Guyana,Arawakan
Boróro,brr,Macro Jê,Boróro,Brazil,Bororoan
Ancient Greek,[grc],No Branch,Indo-European,Greece,Indo-European
English,eng,No Branch,Indo-European,Ireland/United Kingdom,Indo-European
French,fre,No Branch,Indo-European,France/Switzerland,Indo-European
Germany,ger,No Branch,Indo-European,Austria/Germany/Switzerland,Indo-European
Portuguese,por,No Branch,Indo-European,Portugal,Indo-European
Spanish,spa,No Branch,Indo-European,Spain,Indo-European
