language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,0.807393424659062,0
ANCIENT_GREEK,[grc],del-verses,gzip,0.8094762758509159,1
ANCIENT_GREEK,[grc],del-verses,gzip,0.8049536725936377,2
ANCIENT_GREEK,[grc],del-verses,gzip,0.8093145551425791,3
ANCIENT_GREEK,[grc],del-verses,gzip,0.8118323792740971,4
ANCIENT_GREEK,[grc],del-verses,gzip,0.8069696048716969,5
ANCIENT_GREEK,[grc],del-verses,gzip,0.8070783481066129,6
ANCIENT_GREEK,[grc],del-verses,gzip,0.8078088795822029,7
ANCIENT_GREEK,[grc],del-verses,gzip,0.8086035416835126,8
ANCIENT_GREEK,[grc],del-verses,gzip,0.8091611992984667,9
APALAÍ,apl,del-verses,gzip,0.8056951048672644,0
APALAÍ,apl,del-verses,gzip,0.8075364093070475,1
APALAÍ,apl,del-verses,gzip,0.8048515883739042,2
APALAÍ,apl,del-verses,gzip,0.808357531557221,3
APALAÍ,apl,del-verses,gzip,0.8105223083985876,4
APALAÍ,apl,del-verses,gzip,0.8057821935907676,5
APALAÍ,apl,del-verses,gzip,0.8065834098469975,6
APALAÍ,apl,del-verses,gzip,0.8066555690750431,7
APALAÍ,apl,del-verses,gzip,0.8080017119154792,8
APALAÍ,apl,del-verses,gzip,0.8090816120869195,9
APURINÃ,apu,del-verses,gzip,0.8058010897970822,0
APURINÃ,apu,del-verses,gzip,0.8046317683958846,1
APURINÃ,apu,del-verses,gzip,0.8078362845401061,2
APURINÃ,apu,del-verses,gzip,0.8074595903974385,3
APURINÃ,apu,del-verses,gzip,0.8080691024477271,4
APURINÃ,apu,del-verses,gzip,0.8091128591347022,5
APURINÃ,apu,del-verses,gzip,0.8127699314364342,6
APURINÃ,apu,del-verses,gzip,0.8075040612337256,7
APURINÃ,apu,del-verses,gzip,0.8084641081112189,8
APURINÃ,apu,del-verses,gzip,0.8050267740593764,9
ASHENINKA,cax,del-verses,gzip,0.8078080007149979,0
ASHENINKA,cax,del-verses,gzip,0.8025600277061694,1
ASHENINKA,cax,del-verses,gzip,0.809031317467455,2
ASHENINKA,cax,del-verses,gzip,0.8084894831067777,3
ASHENINKA,cax,del-verses,gzip,0.8076152864320766,4
ASHENINKA,cax,del-verses,gzip,0.8079532346673445,5
ASHENINKA,cax,del-verses,gzip,0.8120477149392671,6
ASHENINKA,cax,del-verses,gzip,0.806305387900336,7
ASHENINKA,cax,del-verses,gzip,0.8067382967967535,8
ASHENINKA,cax,del-verses,gzip,0.808159913753376,9
ENGLISH,eng,del-verses,gzip,0.8097917301271599,0
ENGLISH,eng,del-verses,gzip,0.8104218554952307,1
ENGLISH,eng,del-verses,gzip,0.8081641551243228,2
ENGLISH,eng,del-verses,gzip,0.8078804493898833,3
ENGLISH,eng,del-verses,gzip,0.8061662694786385,4
ENGLISH,eng,del-verses,gzip,0.809152645630633,5
ENGLISH,eng,del-verses,gzip,0.8090122859514893,6
ENGLISH,eng,del-verses,gzip,0.8074593703524521,7
ENGLISH,eng,del-verses,gzip,0.8099709126962795,8
ENGLISH,eng,del-verses,gzip,0.8094990652642644,9
FRENCH,fre,del-verses,gzip,0.8094619492770235,0
FRENCH,fre,del-verses,gzip,0.8095779877791646,1
FRENCH,fre,del-verses,gzip,0.8095864784012725,2
FRENCH,fre,del-verses,gzip,0.8114346038134214,3
FRENCH,fre,del-verses,gzip,0.80971666794026,4
FRENCH,fre,del-verses,gzip,0.805720415134817,5
FRENCH,fre,del-verses,gzip,0.8081147705692396,6
FRENCH,fre,del-verses,gzip,0.8114147923618363,7
FRENCH,fre,del-verses,gzip,0.808041185177638,8
FRENCH,fre,del-verses,gzip,0.8076902394638455,9
GERMANY,ger,del-verses,gzip,0.8077284656664969,0
GERMANY,ger,del-verses,gzip,0.8103221546364638,1
GERMANY,ger,del-verses,gzip,0.8086349977336699,2
GERMANY,ger,del-verses,gzip,0.8091358287213981,3
GERMANY,ger,del-verses,gzip,0.8102046412203489,4
GERMANY,ger,del-verses,gzip,0.8091638081061874,5
GERMANY,ger,del-verses,gzip,0.8110496186409853,6
GERMANY,ger,del-verses,gzip,0.8052942591898289,7
GERMANY,ger,del-verses,gzip,0.8090155173668041,8
GERMANY,ger,del-verses,gzip,0.8062287706417911,9
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8126819768834214,0
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8079584557016273,1
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8126567679645058,2
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8085540164110062,3
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.811947767120007,4
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8091747860393007,5
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8087084210393637,6
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8119855804983803,7
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8110686060728286,8
GUARANI_EASTERN_BOLIVIAN,crg,del-verses,gzip,0.8111221750255241,9
GUARANI_MBYA,[gun],del-verses,gzip,0.8071981559494475,0
GUARANI_MBYA,[gun],del-verses,gzip,0.8073126142595978,1
GUARANI_MBYA,[gun],del-verses,gzip,0.8086352436213338,2
GUARANI_MBYA,[gun],del-verses,gzip,0.8086988315714172,3
GUARANI_MBYA,[gun],del-verses,gzip,0.811048406327001,4
GUARANI_MBYA,[gun],del-verses,gzip,0.8075574278674191,5
GUARANI_MBYA,[gun],del-verses,gzip,0.8090644622843971,6
GUARANI_MBYA,[gun],del-verses,gzip,0.8083777124234958,7
GUARANI_MBYA,[gun],del-verses,gzip,0.8078244972577696,8
GUARANI_MBYA,[gun],del-verses,gzip,0.8056116365948652,9
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8058387000469143,0
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8088241566085214,1
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8075751390674408,2
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8085926314057845,3
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8098690664050838,4
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8073314283277179,5
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8108682804379482,6
GUARANI_PARAGUAY,gua,del-verses,gzip,0.8074502373133328,7
