language,wals,metric,algorithm,value,run_id
ANCIENT_GREEK,[grc],del-verses,gzip,0.8073211678832117,0
ANCIENT_GREEK,[grc],del-verses,gzip,0.8044014598540146,1
ANCIENT_GREEK,[grc],del-verses,gzip,0.8177372262773722,2
ANCIENT_GREEK,[grc],del-verses,gzip,0.8123722627737227,3
ANCIENT_GREEK,[grc],del-verses,gzip,0.8081021897810219,4
ANCIENT_GREEK,[grc],del-verses,gzip,0.8049124087591241,5
ANCIENT_GREEK,[grc],del-verses,gzip,0.8106131386861314,6
ANCIENT_GREEK,[grc],del-verses,gzip,0.8044817518248175,7
ANCIENT_GREEK,[grc],del-verses,gzip,0.8044087591240876,8
ANCIENT_GREEK,[grc],del-verses,gzip,0.8151167883211679,9
APALAÍ,apl,del-verses,gzip,0.8069720849472419,0
APALAÍ,apl,del-verses,gzip,0.8032923734473086,1
APALAÍ,apl,del-verses,gzip,0.8015827434219314,2
APALAÍ,apl,del-verses,gzip,0.800667824228663,3
APALAÍ,apl,del-verses,gzip,0.8032122345398691,4
APALAÍ,apl,del-verses,gzip,0.8015226392413517,5
APALAÍ,apl,del-verses,gzip,0.807025510885535,6
APALAÍ,apl,del-verses,gzip,0.8147255242420195,7
APALAÍ,apl,del-verses,gzip,0.8094630693201549,8
APALAÍ,apl,del-verses,gzip,0.810491518632296,9
APINAYÉ,api,del-verses,gzip,0.8095233630401253,0
APINAYÉ,api,del-verses,gzip,0.8059276066889507,1
APINAYÉ,api,del-verses,gzip,0.8075496819138612,2
APINAYÉ,api,del-verses,gzip,0.8099874828299118,3
APINAYÉ,api,del-verses,gzip,0.8055525603941737,4
APINAYÉ,api,del-verses,gzip,0.8067245800653519,5
APINAYÉ,api,del-verses,gzip,0.8002644076378178,6
APINAYÉ,api,del-verses,gzip,0.8020505656166933,7
APINAYÉ,api,del-verses,gzip,0.8100859324822908,8
APINAYÉ,api,del-verses,gzip,0.8076340673301861,9
APURINÃ,apu,del-verses,gzip,0.8103888574465442,0
APURINÃ,apu,del-verses,gzip,0.8069102604806537,1
APURINÃ,apu,del-verses,gzip,0.8086840688541336,2
APURINÃ,apu,del-verses,gzip,0.8040459395662797,3
APURINÃ,apu,del-verses,gzip,0.8088497163286998,4
APURINÃ,apu,del-verses,gzip,0.8101748961252295,5
APURINÃ,apu,del-verses,gzip,0.807538340488384,6
APURINÃ,apu,del-verses,gzip,0.8052744916693124,7
APURINÃ,apu,del-verses,gzip,0.8063442982758858,8
APURINÃ,apu,del-verses,gzip,0.8091948152340461,9
ASHENINKA,cax,del-verses,gzip,0.8090473766149442,0
ASHENINKA,cax,del-verses,gzip,0.8083390515822948,1
ASHENINKA,cax,del-verses,gzip,0.808021780994754,2
ASHENINKA,cax,del-verses,gzip,0.8087227276416465,3
ASHENINKA,cax,del-verses,gzip,0.8110616759265408,4
ASHENINKA,cax,del-verses,gzip,0.8051958592499133,5
ASHENINKA,cax,del-verses,gzip,0.8070773476178882,6
ASHENINKA,cax,del-verses,gzip,0.80620669809859,7
ASHENINKA,cax,del-verses,gzip,0.808833403427998,8
ASHENINKA,cax,del-verses,gzip,0.8090547550007009,9
BAKAIRI,bki,del-verses,gzip,0.8106605819090206,0
BAKAIRI,bki,del-verses,gzip,0.8031988234212704,1
BAKAIRI,bki,del-verses,gzip,0.8046641397619807,2
BAKAIRI,bki,del-verses,gzip,0.805312988326133,3
BAKAIRI,bki,del-verses,gzip,0.8034205133473556,4
BAKAIRI,bki,del-verses,gzip,0.8072054633049102,5
BAKAIRI,bki,del-verses,gzip,0.8085301957900543,6
BAKAIRI,bki,del-verses,gzip,0.802317470788297,7
BAKAIRI,bki,del-verses,gzip,0.8033772567764121,8
BAKAIRI,bki,del-verses,gzip,0.8062538187441536,9
BORÔRO,brr,del-verses,gzip,0.8044914134742405,0
BORÔRO,brr,del-verses,gzip,0.8076154939365292,1
BORÔRO,brr,del-verses,gzip,0.8052802594426741,2
BORÔRO,brr,del-verses,gzip,0.8030764992768912,3
BORÔRO,brr,del-verses,gzip,0.8003906665748434,4
BORÔRO,brr,del-verses,gzip,0.8110463478309866,5
BORÔRO,brr,del-verses,gzip,0.8024379096833973,6
BORÔRO,brr,del-verses,gzip,0.8059877165413487,7
BORÔRO,brr,del-verses,gzip,0.8104202796020711,8
BORÔRO,brr,del-verses,gzip,0.8043286357347224,9
CANELA,cnl,del-verses,gzip,0.8143251033964156,0
CANELA,cnl,del-verses,gzip,0.8075521159710908,1
CANELA,cnl,del-verses,gzip,0.8064920416092242,2
CANELA,cnl,del-verses,gzip,0.8090090654635084,3
CANELA,cnl,del-verses,gzip,0.8100639177841835,4
CANELA,cnl,del-verses,gzip,0.8083406441910014,5
CANELA,cnl,del-verses,gzip,0.8044972218740861,6
CANELA,cnl,del-verses,gzip,0.8100430296194177,7
CANELA,cnl,del-verses,gzip,0.8011968918410829,8
CANELA,cnl,del-verses,gzip,0.810648786397627,9
CULINA,cul,del-verses,gzip,0.8064930400618178,0
CULINA,cul,del-verses,gzip,0.8059216612431026,1
CULINA,cul,del-verses,gzip,0.8031681595071993,2
CULINA,cul,del-verses,gzip,0.8067270332923392,3
CULINA,cul,del-verses,gzip,0.805399257751706,4
CULINA,cul,del-verses,gzip,0.8074671049051512,5
CULINA,cul,del-verses,gzip,0.8007738101716313,6
CULINA,cul,del-verses,gzip,0.810144422798559,7
CULINA,cul,del-verses,gzip,0.8086316293547229,8
CULINA,cul,del-verses,gzip,0.8082996854695645,9
DESANO,des,del-verses,gzip,0.8073948642090648,0
DESANO,des,del-verses,gzip,0.8111578237118352,1
DESANO,des,del-verses,gzip,0.8176846120907781,2
DESANO,des,del-verses,gzip,0.8087183878962462,3
DESANO,des,del-verses,gzip,0.8105544526191496,4
DESANO,des,del-verses,gzip,0.8066098330024524,5
DESANO,des,del-verses,gzip,0.8078230630490353,6
DESANO,des,del-verses,gzip,0.805487433012833,7
DESANO,des,del-verses,gzip,0.8134675023031908,8
DESANO,des,del-verses,gzip,0.8100613751670624,9
ENGLISH,eng,del-verses,gzip,0.8031047418732047,0
ENGLISH,eng,del-verses,gzip,0.8018882732423991,1
ENGLISH,eng,del-verses,gzip,0.8074761807593903,2
ENGLISH,eng,del-verses,gzip,0.8085042929570391,3
ENGLISH,eng,del-verses,gzip,0.8134251047732659,4
