,,,,value,value
,,,,mean,var
language,code,metric,algorithm,,
Ancient Greek,[grc],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.06349467,1.3e-07
Ancient Greek,[grc],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.06753807,1.6e-07
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.27838994,2.7e-06
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.09301645,3.2e-07
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91611157,1.7e-06
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90410882,1.28e-06
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92931954,2.7e-07
Ancient Greek,[grc],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91299676,9.2e-07
Apalaí,apl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.85959193,1.17e-06
Apalaí,apl,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.84867099,1.6e-07
Apalaí,apl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.46438208,5.4e-07
Apalaí,apl,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21330143,5.1e-07
Apalaí,apl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.9067872,1.573e-05
Apalaí,apl,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90349822,2.06e-06
Apalaí,apl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.9493352,4.67e-06
Apalaí,apl,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92304915,4.4e-07
Apurinã,apu,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.95556845,5.7e-07
