,,,,value,value
,,,,mean,var
family,code,metric,algorithm,,
Arawá,cul,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.93497983,7.4e-07
Arawá,cul,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.93710144,3.2e-07
Arawá,cul,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.50671639,3.5e-07
Arawá,cul,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.25583731,1.5e-06
Arawá,cul,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90820728,6.98e-06
Arawá,cul,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90195193,8.69e-06
Arawá,cul,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94652845,1.56e-06
Arawá,cul,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92497578,1.14e-06
Arawá,jmm,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.86441992,2.36e-06
Arawá,jmm,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.83987721,4.5e-07
Arawá,jmm,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.49037923,1.91e-06
Arawá,jmm,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.23828854,1.4e-06
Arawá,jmm,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.9098756,5.26e-06
Arawá,jmm,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90556021,5.79e-06
Arawá,jmm,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95601504,2.33e-06
Arawá,jmm,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.93442197,9.8e-07
Arawá,pau,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.93021091,1.56e-06
Arawá,pau,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.92651181,3.3e-07
Arawá,pau,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.4930665,9.9e-07
Arawá,pau,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.24906448,9.3e-07
Arawá,pau,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90901649,6.97e-06
Arawá,pau,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90281347,1.243e-05
Arawá,pau,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.95107606,9.9e-07
Arawá,pau,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9278124,6.6e-07
Aruak,apu,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.02353356,8.9e-07
Aruak,apu,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.01187299,3.6e-07
Aruak,apu,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42673959,4.01e-06
Aruak,apu,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21704374,1.86e-06
Aruak,apu,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.89502442,6.38e-06
Aruak,apu,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90346686,6.73e-06
Aruak,apu,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92201677,9.29e-06
Aruak,apu,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9148634,1.93e-06
Aruak,cax,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.25357316,1.27e-06
Aruak,cax,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.3332851,1.42e-06
Aruak,cax,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.41704505,7.7e-07
Aruak,cax,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.18094605,8.8e-07
Aruak,cax,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91033866,4.44e-06
Aruak,cax,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90265917,8e-06
Aruak,cax,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.92621448,9.85e-06
Aruak,cax,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.90548066,9.9e-07
Aruak,pex,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.00485807,2.14e-06
Aruak,pex,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.00040997,5.5e-07
Aruak,pex,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.44613938,2.27e-06
Aruak,pex,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20787581,8.8e-07
Aruak,pex,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90948432,5e-06
Aruak,pex,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90355129,3.11e-06
Aruak,pex,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93139687,1.4e-06
Aruak,pex,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91520612,3.1e-07
Aruak,plk,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.91722555,4.7e-07
Aruak,plk,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.89047103,1.5e-07
Aruak,plk,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.43351393,1.94e-06
Aruak,plk,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.21036211,8e-07
Aruak,plk,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90025879,1.984e-05
Aruak,plk,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.9056392,9.95e-06
Aruak,plk,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94187077,4.57e-06
Aruak,plk,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92872228,1.08e-06
Aruak,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.03068657,1.04e-06
Aruak,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.05961639,2.4e-07
Aruak,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.38442809,8.7e-07
Aruak,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.16906228,7.3e-07
Aruak,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.88927455,5.27e-06
Aruak,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90466801,1.384e-05
Aruak,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.91426876,9e-07
Aruak,trn,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.9171208,4.9e-07
Aruak,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,1.00474331,5.6e-07
Aruak,wps,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.98552236,4.8e-07
Aruak,wps,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.42007761,4.93e-06
